658428, EECO06, 2024-01-24 15:08:47, 03EGTBE003, None
658429, EECO07, 2024-01-24 15:08:47, 03EGTBE003, None
658430, EECO08, 2024-01-24 15:08:47, 03EGTBE003, None
658431, EECO09, 2024-01-24 15:08:47, 03EGTBE003, None
658432, EECO10, 2024-01-24 15:08:47, 03EGTBE003, None
658433, EECO11, 2024-01-24 15:08:47, 03EGTBE003, None
658434, EECO12, 2024-01-24 15:08:47, 03EGTBE003, None
658435, EECO13, 2024-01-24 15:08:47, 03EGTBE003, None
658436, EECO14, 2024-01-24 15:08:47, 03EGTBE003, None
658437, PO1a1, 2024-01-24 15:08:47, 03EGTBE003, None
658438, EECO01, 2024-01-24 15:08:48, 03EGTBE004, None
658439, EECO02, 2024-01-24 15:08:48, 03EGTBE004, None
658440, EECO03, 2024-01-24 15:08:48, 03EGTBE004, None
658441, EECO04, 2024-01-24 15:08:48, 03EGTBE004, None
658442, EECO05, 2024-01-24 15:08:48, 03EGTBE004, None
658443, EECO06, 2024-01-24 15:08:48, 03EGTBE004, None
658444, EECO07, 2024-01-24 15:08:48, 03EGTBE004, None
658445, EECO08, 2024-01-24 15:08:48, 03EGTBE004, None
658446, EECO09, 2024-01-24 15:08:48, 03EGTBE004, None
658447, EECO10, 2024-01-24 15:08:48, 03EGTBE004, None
658448, EECO11, 2024-01-24 15:08:48, 03EGTBE004, None
658449, EECO12, 2024-01-24 15:08:48, 03EGTBE004, None
658450, EECO13, 2024-01-24 15:08:48, 03EGTBE004, None
658451, EECO14, 2024-01-24 15:08:48, 03EGTBE004, None
658452, PO1a1, 2024-01-24 15:08:48, 03EGTBE004, None
658453, EECO01, 2024-01-24 15:08:49, 03EGTBE005, None
658454, EECO02, 2024-01-24 15:08:49, 03EGTBE005, None
658455, EECO03, 2024-01-24 15:08:49, 03EGTBE005, None
658456, EECO04, 2024-01-24 15:08:49, 03EGTBE005, None
658457, EECO05, 2024-01-24 15:08:49, 03EGTBE005, None
658458, EECO06, 2024-01-24 15:08:49, 03EGTBE005, None
658459, EECO07, 2024-01-24 15:08:49, 03EGTBE005, None
658460, EECO08, 2024-01-24 15:08:49, 03EGTBE005, None
658461, EECO09, 2024-01-24 15:08:49, 03EGTBE005, None
658462, EECO10, 2024-01-24 15:08:49, 03EGTBE005, None
658463, EECO11, 2024-01-24 15:08:49, 03EGTBE005, None
