2023, 94546.55, 141819.84, 106364.87, 03EFWNI118, 2024-01-24 15:08:36, FundingCommitment, 4, 40, 0.3999999746156803, 911517.07
2024, 283639.66, 425459.51, 106364.87, 03EFWNI118, 2024-01-24 15:08:36, FundingCommitment, 12, 40, 0.3999999887180802, 911517.07
2025, 47273.28, 70909.92, 106364.87, 03EFWNI118, 2024-01-24 15:08:36, FundingCommitment, 2, 40, 0.4, 911517.07
2023, 95950.99, 143926.5, 0.0, 03EFWNW335, 2024-01-24 15:08:37, FundingCommitment, 4, 40, 0.399999974987232, 1062909.56
2024, 287852.98, 431779.49, 0.0, 03EFWNW335, 2024-01-24 15:08:37, FundingCommitment, 12, 40, 0.39999998888321425, 1062909.56
2025, 287852.98, 431779.49, 0.0, 03EFWNW335, 2024-01-24 15:08:37, FundingCommitment, 12, 40, 0.39999998888321425, 1062909.56
2026, 47975.5, 71963.25, 0.0, 03EFWNW335, 2024-01-24 15:08:37, FundingCommitment, 2, 40, 0.4, 1062909.56
2024, 154424.05, 231636.08, 0.0, 03EFWNW338, 2024-01-24 15:08:37, FundingCommitment, 11, 40, 0.39999999481945986, 563763.11
2025, 98269.85, 147404.78, 0.0, 03EFWNW338, 2024-01-24 15:08:37, FundingCommitment, 7, 40, 0.39999999185915125, 563763.11
2023, 48217.36, 72326.06, 0.0, 03EFWNW339, 2024-01-24 15:08:38, FundingCommitment, 3, 40, 0.3999999336338723, 668624.65
2024, 192869.48, 289304.22, 0.0, 03EFWNW339, 2024-01-24 15:08:38, FundingCommitment, 12, 40, 0.4, 668624.65
2025, 48217.36, 72326.06, 0.0, 03EFWNW339, 2024-01-24 15:08:38, FundingCommitment, 3, 40, 0.3999999336338723, 668624.65
2024, 203176.76, 304765.16, 82296.29, 03EFWNW341, 2024-01-24 15:08:39, FundingCommitment, 12, 40, 0.3999999842501678, 633262.88
2025, 101588.38, 152382.58, 82296.29, 03EFWNW341, 2024-01-24 15:08:39, FundingCommitment, 6, 40, 0.3999999842501678, 633262.88
2023, 91175.48, 136763.24, 0.0, 03EFWNW346, 2024-01-24 15:08:40, FundingCommitment, 4, 40, 0.39999996490284756, 956615.88
2024, 273526.46, 410289.71, 0.0, 03EFWNW346, 2024-01-24 15:08:40, FundingCommitment, 12, 40, 0.39999998830094935, 956615.88
2025, 182350.98, 273526.47, 0.0, 03EFWNW346, 2024-01-24 15:08:40, FundingCommitment, 8, 40, 0.4, 956615.88
2023, 33800.68, 50701.04, 0.0, 03EFWNW347, 2024-01-24 15:08:40, FundingCommitment, 2, 40, 0.39999990532737084, 611792.12
2024, 202804.11, 304206.17, 0.0, 03EFWNW347, 2024-01-24 15:08:40, FundingCommitment, 12, 40, 0.3999999960553068, 611792.12
2025, 67601.37, 101402.06, 0.0, 03EFWNW347, 2024-01-24 15:08:40, FundingCommitment, 4, 40, 0.39999998816592064, 611792.12
2024, 248590.04, 372885.08, 0.0, 03EFWNW351, 2024-01-24 15:08:41, FundingCommitment, 12, 40, 0.39999998712740104, 554765.82
2025, 124295.02, 186442.54, 0.0, 03EFWNW351, 2024-01-24 15:08:41, FundingCommitment, 6, 40, 0.39999998712740104, 554765.82
2024, 196909.2, 295363.81, 0.0, 03EFWRP036, 2024-01-24 15:08:42, FundingCommitment, 12, 40, 0.3999999918744276, 429180.87
2023, 61760.63, 92640.96, 0.0, 03EFWSH049, 2024-01-24 15:08:42, FundingCommitment, 4, 40, 0.39999996114029657, 486747.16
2024, 185281.9, 277922.87, 0.0, 03EFWSH049, 2024-01-24 15:08:42, FundingCommitment, 12, 40, 0.3999999827290207, 486747.16
