33330, EECO01, YES, 03EGTNW034, 2024-01-24 15:09:41, 126371, 2023, 1
33329, EECO01, YES, 03EGTNW034, 2024-01-24 15:09:41, 126372, 2023, 1
33331, EECO01, YES, 03EGTNW034, 2024-01-24 15:09:41, 126373, 2023, 1
33330, EECO03, YES, 03EGTNW034, 2024-01-24 15:09:41, 126374, 2023, 0
33329, EECO03, YES, 03EGTNW034, 2024-01-24 15:09:41, 126375, 2023, 0
33331, EECO03, YES, 03EGTNW034, 2024-01-24 15:09:41, 126376, 2023, 0
33330, EECO06, YES, 03EGTNW034, 2024-01-24 15:09:41, 126377, 2023, 0
33329, EECO06, YES, 03EGTNW034, 2024-01-24 15:09:41, 126378, 2023, 0
33331, EECO06, YES, 03EGTNW034, 2024-01-24 15:09:41, 126379, 2023, 0
33330, EECO07, YES, 03EGTNW034, 2024-01-24 15:09:41, 126380, 2023, 1
33329, EECO07, YES, 03EGTNW034, 2024-01-24 15:09:41, 126381, 2023, 1
33331, EECO07, YES, 03EGTNW034, 2024-01-24 15:09:41, 126382, 2023, 0
33330, EECO08, YES, 03EGTNW034, 2024-01-24 15:09:41, 126383, 2023, 0
33329, EECO08, YES, 03EGTNW034, 2024-01-24 15:09:41, 126384, 2023, 0
33331, EECO08, YES, 03EGTNW034, 2024-01-24 15:09:41, 126385, 2023, 0
33330, EECO12, YES, 03EGTNW034, 2024-01-24 15:09:41, 126386, 2023, 0
33329, EECO12, YES, 03EGTNW034, 2024-01-24 15:09:41, 126387, 2023, 0
33331, EECO12, YES, 03EGTNW034, 2024-01-24 15:09:41, 126388, 2023, 0
33330, EECO13, YES, 03EGTNW034, 2024-01-24 15:09:41, 126389, 2023, 0
33329, EECO13, YES, 03EGTNW034, 2024-01-24 15:09:41, 126390, 2023, 0
33331, EECO13, YES, 03EGTNW034, 2024-01-24 15:09:41, 126391, 2023, 0
33330, EECO14, YES, 03EGTNW034, 2024-01-24 15:09:41, 126392, 2023, 1
33329, EECO14, YES, 03EGTNW034, 2024-01-24 15:09:41, 126393, 2023, 1
33331, EECO14, YES, 03EGTNW034, 2024-01-24 15:09:41, 126394, 2023, 1
33330, EECO09, YES, 03EGTNW034, 2024-01-24 15:09:41, 126395, 2023, 0
33329, EECO09, YES, 03EGTNW034, 2024-01-24 15:09:41, 126396, 2023, 0
33331, EECO09, YES, 03EGTNW034, 2024-01-24 15:09:41, 126397, 2023, 0
33330, EECO10, YES, 03EGTNW034, 2024-01-24 15:09:41, 126398, 2023, 0
33329, EECO10, YES, 03EGTNW034, 2024-01-24 15:09:41, 126399, 2023, 0
